username, created_at, lng, lat, text
vaaaaaannee, Fri Apr 24 03:08:39 +0000 2020, -118.503259, 34.415631, Using bumble In Scv is cancelled until further notice 
piscapocha2, Fri Apr 24 03:08:39 +0000 2020, -100.293591, 25.641718, Presidente, pues apoya a los comités de las escuelas con el dinero necesario para pagar los arreglos a los albañile… https://t.co/kG1lF02MY5 
EvilByMoonlight, Fri Apr 24 03:08:39 +0000 2020, -86.273286, 43.198203, @tsubecky RUDE 
Cliffo1989, Fri Apr 24 03:08:39 +0000 2020, -72.756704, 42.130942, @Ajmakeithappen7 @Patriots Hell no man, he the definition of the enemy now, respect for what he accomplished n will… https://t.co/Hrw4drTvrf 
darcistanish12, Fri Apr 24 03:08:39 +0000 2020, -83.804475, 27.698682, @allydanielle_ 😘😘 
ChrisRAllen, Fri Apr 24 03:08:39 +0000 2020, -86.680738, 32.576227, @daniwhitehead03 Would have loved him and Coop together. 
mandymau55, Fri Apr 24 03:08:39 +0000 2020, -96.761753, 32.819858, Anyone hiring where minorities work? :)) 
Lazahhzahh, Fri Apr 24 03:08:39 +0000 2020, -79.857363, 36.090397, Bruh jade do this 😂 I be wanting to slap her 
Erasergirl1, Fri Apr 24 03:08:39 +0000 2020, -120.841443, 37.060965, 👊👊👊 
champ_wright, Fri Apr 24 03:08:39 +0000 2020, -96.758966, 35.974215, koe fucking wetzel baby! 🐑🐑🐑 
kadamster, Fri Apr 24 03:08:39 +0000 2020, -122.435979, 37.770657, AHHHHHHHHHHHHHHHHHHHH!!!! #ParksAndRec https://t.co/KiprTvy0VT 
iambabis, Fri Apr 24 03:08:39 +0000 2020, -100.293591, 25.641718, No puedo contener mi emoción, ya esta mi nuevo libro en Amazon 📝 
issaburnerpal, Fri Apr 24 03:08:39 +0000 2020, -76.886708, 38.872344, @liaelibro I wish you listened to more music 😕 
kurthillz, Fri Apr 24 03:08:39 +0000 2020, -81.248786, 42.948841, @PressSec Go inject some bleach there, Kayleigh 
tipsyisme, Fri Apr 24 03:08:39 +0000 2020, -80.263517, 26.124507, @EONBREAK_ He did a trick on me and my old friend at ultra 2018. Didn’t know who he was until I saw his profile 
PJPOLACO, Fri Apr 24 03:08:39 +0000 2020, -73.022108, 41.566578, @Marvelous32 @LuciferNetflix Is my favorite. Can’t wait for season five watched every single episode twice LOL 
patrickrileycro, Fri Apr 24 03:08:39 +0000 2020, -80.068196, 40.500806, Defense looking good ⚡️ @Chargers 
glucosefthr, Fri Apr 24 03:08:39 +0000 2020, -95.446486, 29.838495, https://t.co/6JgmjU0vBw 
Darkness504, Fri Apr 24 03:08:40 +0000 2020, -90.178629, 30.001244, @rainerausmus Favorite show. The foolishness runs rampant on there 
ImAlvar0, Fri Apr 24 03:08:39 +0000 2020, -96.822285, 32.817906, Trying random shit https://t.co/ESzxADq1A0 
SJFinlay, Fri Apr 24 03:08:40 +0000 2020, -123.123581, 49.257639, Hey @Fluevog , love the @drbonniehenry shoe.  Just wondering when the @CPHO_Canada will be ready?  Surely equally deserving! 
DavidJFine, Fri Apr 24 03:08:40 +0000 2020, -77.213207, 42.969117, Haha these are definitely words that were spoke in many zoom chats during 4/20 celebrations 😅😅😅 
alline_lima, Fri Apr 24 03:08:40 +0000 2020, -79.272570, 43.629311, Este perfil é #FicaThelma e........... muito difícil, porém #FicaBabu e #ForaRafa. 
lowkeynan, Fri Apr 24 03:08:40 +0000 2020, -97.135638, 32.701850, etat major x extra musica is an all time classic. 
Tarheelwilliams, Fri Apr 24 03:08:40 +0000 2020, -87.064933, 30.384825, @DBrooks55 
A_Viscount12, Fri Apr 24 03:08:40 +0000 2020, -74.570025, 39.344640, @anthonyregs Spineless little weasel fuck 
ChaotiCliqueMom, Fri Apr 24 03:08:40 +0000 2020, -73.831187, 40.670879, @peenpilots Have you tried putting it in rice? 
JordanMPonder, Fri Apr 24 03:08:40 +0000 2020, -79.179013, 37.400955, MURRAYYYYYYYYY @Stugotz790 
TheMattPetz, Fri Apr 24 03:08:40 +0000 2020, -71.912818, 41.908508, @DR0girl Yes. 
Trent_PhD, Fri Apr 24 03:08:40 +0000 2020, -96.761753, 32.819858, @GoBigGurlsGo Thanks for you continued support 
The_Sooch, Fri Apr 24 03:08:40 +0000 2020, -87.732013, 41.833585, @GlargoH @adamjahns https://t.co/qVlLO8BX9N 
brookswheelan, Fri Apr 24 03:08:40 +0000 2020, -118.411907, 34.020789, @ModernWood Add me: Toll Benson 29 
WhoaKeeley, Fri Apr 24 03:08:40 +0000 2020, -86.142922, 39.779562, Feel so bad that the editing wasn’t good ☹️ Jonas has no control over that. They probably wanted to rush it because… https://t.co/IsK7iQoP5N 
lisamarieschul, Fri Apr 24 03:08:40 +0000 2020, -95.446486, 29.838495, @dd1957b3f4394dc @seanhannity He is awesome! Love him ❤️ 
jamesbrowntv, Fri Apr 24 03:08:40 +0000 2020, -75.770041, 42.746617, Aren’t you the guy who said they were trading up for Tua 
7ftvonn, Fri Apr 24 03:08:40 +0000 2020, -96.761753, 32.819858, @iam_koyaa Koyaa. Gone tf on naa https://t.co/TFgBzNxMin 
jah_311, Fri Apr 24 03:08:40 +0000 2020, -86.611411, 34.706027, @4jay1w I was born in this country this is my home no matter how fucked up it is so why would I spit in the face of… https://t.co/vs2xGBlmk0 
Donaldgleason82, Fri Apr 24 03:08:40 +0000 2020, -79.995359, 35.995054, @realDonaldTrump Nobel Prize Winning Scientist Claims Coronavirus Came From Wuhan Laboratory, Contains HIV Inserts… https://t.co/OgHgio2jCK 
FrancescaMMoore, Fri Apr 24 03:08:40 +0000 2020, -94.865305, 36.880269, Cheers to you sis. You keep showing up with your whole heart. You just don’t quite. For a woman like you I don’t th… https://t.co/OYAIek06ic 
cquine, Fri Apr 24 03:08:41 +0000 2020, -123.123581, 49.257639, Toot toot https://t.co/eRGVGEW6yd 
BlondeBeauty38, Fri Apr 24 03:08:41 +0000 2020, -76.620482, 39.284713, @realDonaldTrump IS A FUCKING IDIOT!!! VOTE 2020 
UrBoiDLC, Fri Apr 24 03:08:41 +0000 2020, -85.167617, 35.252037, @btsutu_ Probably 
Y_Soup, Fri Apr 24 03:08:41 +0000 2020, -111.969139, 40.516553, @aaronmiller I’m not sure how to work clips from that episode Into a nonprofit management class, but please try. 
maxpmusiq, Fri Apr 24 03:08:41 +0000 2020, -87.336863, 30.416908, I can't let the day end without wishing my one and only a happy birthday! @Jenn_Petion, although circumstances may… https://t.co/dRBL6ia0Ue 
MsEcuaMarla, Fri Apr 24 03:08:41 +0000 2020, -87.864887, 42.314577, @AleksMBMagenta She is adorable!! Sooooo cute!!! 
bumblebryx, Fri Apr 24 03:08:41 +0000 2020, -81.541705, 39.256249, @DrinkWater7TEEN being boyfriend and girlfriend is two separate individuals. when you get married you become one, y… https://t.co/tOSy2rhDEW 
breana_janee, Fri Apr 24 03:08:41 +0000 2020, -81.516751, 41.080877, Can i fuck 
Chase_Glorfield, Fri Apr 24 03:08:41 +0000 2020, -114.465155, 42.561255, @mybrainissmart I agree. I’m certain that has something to do with it. 
vizioncreation, Fri Apr 24 03:08:41 +0000 2020, -82.432361, 28.076861, DM day 1 @JulianaJuggz 
JHill_21, Fri Apr 24 03:08:41 +0000 2020, -71.528578, 42.225898, @tylerinoklahoma @PGATOUR Pick for 2020 not 1950 
WWDEatNext, Fri Apr 24 03:08:41 +0000 2020, -86.142922, 39.779562, Copped the nerf gun. Why not 🤷🏾‍♂️ 
